date,actual,predicted,actual_direction,pred_direction,correct_direction
2015-05-01,0.004863451038116627,-0.03954080294435655,1,0,0
2015-06-01,-0.038183887321660066,-0.01919549901352684,0,0,1
2015-07-01,0.03669124960448809,-0.032755859599313396,1,0,0
2015-08-01,0.017065274753622697,0.008752431011231748,1,1,1
2015-09-01,-0.0563628603595978,0.011111920704018658,0,1,0
2015-10-01,0.012826414564620192,-0.008691422773381644,1,0,0
2015-11-01,-0.06204959179581237,-0.00014077341657760327,0,0,1
2016-07-01,-0.030363317464419212,0.06374111681101526,0,1,0
2016-08-01,0.07110379356826038,0.022097025246121123,1,1,1
2016-09-01,0.001737619898540878,0.05356931210392218,1,1,1
2016-10-01,0.056473862458477575,0.03720479574672622,1,1,1
2016-11-01,0.16700296664585243,0.03199391845695197,1,1,1
2016-12-01,0.09304954079575976,0.09364919589532893,1,1,1
2017-09-01,0.10601434683565841,0.08081254023637617,1,1,1
2017-10-01,0.051622107698652824,0.09487284649873663,1,1,1
2017-11-01,-0.07439647953613952,0.08369480700303274,0,1,0
2017-12-01,-0.090359328022177,0.020409101047582145,0,1,0
2018-01-01,0.030224738645035783,-0.01908272645430566,1,0,0
2018-02-01,0.07835351481048101,1.4124852552206157e-06,1,1,1
2018-03-01,0.08389866547778128,0.022716842729071453,1,1,1
2018-04-01,-0.1286473705871278,0.02768210551963153,0,1,0
2018-05-01,0.11531656769568308,-0.03529260434600928,1,0,0
2018-06-01,-0.14188207444654383,0.026177223842306675,0,1,0
2018-07-01,-0.07533732494164536,-0.01946763430969414,0,0,1
2018-08-01,0.04577827284841917,-0.044829083531029955,1,0,0
2018-10-01,-0.06901952566598349,-0.03502887371283729,0,0,1
2018-11-01,-0.03994174840794554,-0.042820728197653056,0,0,1
2018-12-01,-0.11354393812226476,-0.034614774370919,0,0,1
2019-01-01,-0.10642821647247157,-0.070263933546758,0,0,1
2019-02-01,0.01115661338035484,-0.08602458775837223,1,0,0
2019-03-01,-0.09588938886855906,-0.04557850777683773,0,0,1
2019-04-01,-0.0986638876900911,-0.08204456521347282,0,0,1
2019-05-01,-0.01617408488703539,-0.07638692208142576,0,0,1
2019-06-01,-0.0011247796672511081,-0.04103997779907294,0,0,1
2019-07-01,-0.019963694439562852,-0.0252110060002837,0,0,1
2019-08-01,-0.0774739188371912,-0.01370377031608269,0,0,1
2019-09-01,-0.08938258552540526,-0.04944515140991253,0,0,1
2019-10-01,0.047594049578880845,-0.0625804792667225,1,0,0
2019-11-01,-0.02956872354862511,-0.025707913704606414,0,0,1
2019-12-01,-0.08449918024566624,-0.02783216652710232,0,0,1
2020-01-01,-0.04589751478975954,-0.041734486576065856,0,0,1
2020-02-01,-0.014742062869549464,-0.07238499642908379,0,0,1
2020-03-01,-0.011219849990021393,-0.027567790111086593,0,0,1
2020-04-01,-0.039441558204148755,-0.0012320943561425638,0,0,1
2020-05-01,0.03358631424447439,-0.020794922337491507,1,0,0
2020-07-01,0.09009496276948206,-0.043185070275352365,1,0,0
2020-08-01,0.006582116314820834,0.01578094673063843,1,1,1
2020-09-01,-0.0062485049689409026,0.026129098360835618,0,1,0
2020-10-01,0.16538063034504308,0.039290953481840654,1,1,1
2020-11-01,0.19460077140800797,0.10900519960375547,1,1,1
2020-12-01,-0.027097347881428535,0.13543625380422722,0,1,0
2021-01-01,-0.1731737123099077,0.03766221105799943,0,1,0
2021-02-01,-0.007610748813801693,-0.029629773413847222,0,0,1
2021-03-01,-0.0038391895167317696,-0.030533018166749824,0,0,1
2021-04-01,-0.0026157294557012274,-0.03383157930503906,0,0,1
2021-05-01,0.09620212901253183,-0.012797112080344156,1,0,0
2021-06-01,-0.031110344640052884,0.023726589530304435,0,1,0
2021-07-01,0.09955744204209134,0.006004190390292259,1,1,1
2021-08-01,0.05248589794345712,0.06038451940275306,1,1,1
2021-09-01,0.07825448430493116,0.061511473055951935,1,1,1
2021-10-01,0.2021806961511354,0.07622341896873612,1,1,1
2021-11-01,0.06778391571217558,0.12421301758033186,1,1,1
2021-12-01,-0.001290970558696751,0.09489490711911207,0,1,0
2022-01-01,-0.012773726859160572,0.04441556256152549,0,1,0
2022-03-01,0.06444116437363313,0.03948877427268609,1,1,1
2022-04-01,0.07439630608163625,0.035105507899481615,1,1,1
2022-05-01,0.032952301138518096,0.050620637392024825,1,1,1
2022-06-01,-0.026322283338105237,0.03676060673993174,0,1,0
2022-07-01,-0.05322061921987457,0.013955388972185333,0,1,0
2022-08-01,-0.058794016141210964,0.011021882523863167,0,1,0
2022-09-01,-0.0058013215640866245,-0.041392148320244834,0,0,1
2022-10-01,0.2583988887896025,-0.0225177779055087,1,0,0
2022-11-01,0.019477690804329924,0.08893836754192638,1,1,1
2022-12-01,-0.14518981966547537,0.045799364781983716,0,1,0
2023-01-01,0.1730832600592927,-0.04325986506626594,1,0,0
2023-02-01,0.06330117266460111,-0.014338831857038582,1,0,0
2023-03-01,0.03761427040747765,0.027782246309659243,1,1,1
2023-04-01,-0.06273285678775187,0.03825854722900488,0,1,0
2023-05-01,-0.14420244456398204,-0.0042518369563099255,0,0,1
2023-06-01,-0.0642426084976448,-0.04643227625852392,0,0,1
2023-07-01,-0.09879581240345793,-0.061315423662469025,0,0,1
