component,explained_variance_ratio,cumulative_variance
PC1,0.3165777603578631,0.3165777603578631
PC2,0.19956648146108197,0.516144241818945
PC3,0.1330073882006262,0.6491516300195712
PC4,0.10806914040562753,0.7572207704251988
PC5,0.08912324181693013,0.8463440122421289
