date,season,year,month,total,oni
2021-02-01,JFM,2021,2,25.94,-0.79
2021-03-01,FMA,2021,3,26.46,-0.71
2021-04-01,MAM,2021,4,27.03,-0.55
2021-05-01,AMJ,2021,5,27.35,-0.39
2021-06-01,MJJ,2021,6,27.28,-0.3
2021-07-01,JJA,2021,7,26.89,-0.35
2021-08-01,JAS,2021,8,26.46,-0.45
2021-09-01,ASO,2021,9,26.09,-0.63
2021-10-01,SON,2021,10,25.9,-0.76
2021-11-01,OND,2021,11,25.69,-0.91
2021-12-01,NDJ,2021,12,25.63,-0.87
2022-01-01,DJF,2022,1,25.67,-0.82
2022-02-01,JFM,2022,2,25.94,-0.79
2022-03-01,FMA,2022,3,26.31,-0.86
2022-04-01,MAM,2022,4,26.62,-0.95
2022-05-01,AMJ,2022,5,26.84,-0.9
2022-06-01,MJJ,2022,6,26.8,-0.78
2022-07-01,JJA,2022,7,26.48,-0.76
2022-08-01,JAS,2022,8,26.04,-0.87
2022-09-01,ASO,2022,9,25.75,-0.97
2022-10-01,SON,2022,10,25.72,-0.94
2022-11-01,OND,2022,11,25.76,-0.85
2022-12-01,NDJ,2022,12,25.79,-0.71
2023-01-01,DJF,2023,1,25.96,-0.54
2023-02-01,JFM,2023,2,26.44,-0.29
2023-03-01,FMA,2023,3,27.15,-0.02
2023-04-01,MAM,2023,4,27.85,0.27
2023-05-01,AMJ,2023,5,28.31,0.57
2023-06-01,MJJ,2023,6,28.42,0.84
2023-07-01,JJA,2023,7,28.36,1.12
2023-08-01,JAS,2023,8,28.28,1.37
2023-09-01,ASO,2023,9,28.32,1.6
2023-10-01,SON,2023,10,28.49,1.83
2023-11-01,OND,2023,11,28.6,1.99
2023-12-01,NDJ,2023,12,28.57,2.06
2024-01-01,DJF,2024,1,28.42,1.92
2024-02-01,JFM,2024,2,28.35,1.62
2024-03-01,FMA,2024,3,28.43,1.26
2024-04-01,MAM,2024,4,28.39,0.82
2024-05-01,AMJ,2024,5,28.22,0.49
2024-06-01,MJJ,2024,6,27.8,0.22
2024-07-01,JJA,2024,7,27.33,0.08
2024-08-01,JAS,2024,8,26.85,-0.07
2024-09-01,ASO,2024,9,26.55,-0.17
2024-10-01,SON,2024,10,26.46,-0.21
2024-11-01,OND,2024,11,26.3,-0.3
2024-12-01,NDJ,2024,12,26.09,-0.42
2025-01-01,DJF,2025,1,26.05,-0.45
2025-02-01,JFM,2025,2,26.48,-0.24
2025-03-01,FMA,2025,3,27.11,-0.06
2025-04-01,MAM,2025,4,27.6,0.02
2025-05-01,AMJ,2025,5,27.72,-0.02
2025-06-01,MJJ,2025,6,27.54,-0.04
2025-07-01,JJA,2025,7,27.1,-0.14
2025-08-01,JAS,2025,8,26.63,-0.28
2025-09-01,ASO,2025,9,26.32,-0.4
2025-10-01,SON,2025,10,26.16,-0.51
2025-11-01,OND,2025,11,26.05,-0.55
2025-12-01,NDJ,2025,12,25.97,-0.54
2026-01-01,DJF,2026,1,26.13,-0.37
2026-02-01,JFM,2026,2,26.58,-0.15
2026-03-01,FMA,2026,3,27.28,0.11
