date,cno_price,cpo_price_lag1,cpo_price_lag2,cpo_price_lag3,cpo_price_lag4,usd_php_lag1,usd_php_lag2,usd_php_lag3,usd_php_lag4,oni_lag1,copra_farmgate_lag1,copra_farmgate_lag2,copra_farmgate_lag3,copra_farmgate_lag4,coconut_prod_lag1,coconut_prod_lag2,coconut_prod_lag3,coconut_prod_lag4,coconut_prod_lag5,coconut_prod_lag6,scfm,scfm_lag1,scfm_mean6,scfm_dev,target_next_cno_log_return,target_next_cno_direction
2012-05-01,1208.0,1141.4,1111.4375,1068.3125,1018.45,42.484,42.8525,42.69375,43.317,-0.36,24.37,25.71,26.77,27.12,3608390.69,3534459.22,3534459.22,3534459.22,4115636.02,4115636.02,394.4798116340344,501.6746091937737,877.6595428719216,-483.17973123788727,0.20240008421603958,1
2012-06-01,1479.0,996.8125,1141.4,1111.4375,1068.3125,43.21125,42.484,42.8525,42.69375,-0.17,19.46,24.37,25.71,26.77,3608390.69,3608390.69,3534459.22,3534459.22,3534459.22,4115636.02,493.16557866553524,394.4798116340344,766.6701291242844,-273.5045504587491,-0.023256862164267235,0
2012-07-01,1445.0,926.8125,996.8125,1141.4,1111.4375,42.4875,43.21125,42.484,42.8525,0.06,18.46,19.46,24.37,25.71,3608390.69,3608390.69,3608390.69,3534459.22,3534459.22,3534459.22,789.3480482121258,493.16557866553524,662.6930357343541,126.65501247777172,0.004143652337655374,1
2012-08-01,1451.0,967.2,926.8125,996.8125,1141.4,41.903000000000006,42.4875,43.21125,42.484,0.3,17.56,18.46,19.46,24.37,4210921.49,3608390.69,3608390.69,3608390.69,3534459.22,3534459.22,779.820517074771,789.3480482121258,609.1018173533635,170.71869972140757,-0.027954301031373897,0
2012-09-01,1411.0,930.0625,967.2,926.8125,996.8125,42.15625,41.903000000000006,42.4875,43.21125,0.41,16.66,17.56,18.46,19.46,4210921.49,4210921.49,3608390.69,3608390.69,3608390.69,3534459.22,823.7040606210361,779.820517074771,604.202098943143,219.50196167789306,-0.05312271116464024,0
2012-10-01,1338.0,888.45,930.0625,967.2,926.8125,41.54600000000001,42.15625,41.903000000000006,42.4875,0.41,15.98,16.66,17.56,18.46,4210921.49,4210921.49,4210921.49,3608390.69,3608390.69,3608390.69,800.4700003591354,823.7040606210361,630.3654375668793,170.10456279225605,0.007446050784078532,1
2012-11-01,1348.0,818.625,888.45,930.0625,967.2,41.2775,41.54600000000001,42.15625,41.903000000000006,0.31,14.41,15.98,16.66,17.56,4175047.62,4210921.49,4210921.49,4210921.49,3608390.69,3608390.69,783.8720641265612,800.4700003591354,680.164669427773,103.70739469878822,-0.1545216685163584,0
2012-12-01,1155.0,774.375,818.625,888.45,930.0625,41.053749999999994,41.2775,41.54600000000001,42.15625,0.13,12.41,14.41,15.98,16.66,4175047.62,4175047.62,4210921.49,4210921.49,4210921.49,3608390.69,868.1799421876759,783.8720641265612,745.0633781765274,123.11656401114851,-0.08772001053764918,0
2013-01-01,1058.0,771.15,774.375,818.625,888.45,41.03,41.053749999999994,41.2775,41.54600000000001,-0.1,12.46,12.41,14.41,15.98,4175047.62,4175047.62,4175047.62,4210921.49,4210921.49,4210921.49,672.9678825791426,868.1799421876759,807.5657720968842,-134.59788951774158,0.011278315037707274,1
2013-02-01,1070.0,803.5625,771.15,774.375,818.625,40.625,41.03,41.053749999999994,41.2775,-0.29,13.12,12.46,12.41,14.41,3495106.79,4175047.62,4175047.62,4175047.62,4210921.49,4210921.49,545.3748473748474,672.9678825791426,788.1690778247203,-242.79423044987288,-0.06665914814073126,0
